row,col,R,G,B,R_norm,G_norm,B_norm,brightness
1,58,255,255,255,1.0,1.0,1.0,light
1,59,255,255,255,1.0,1.0,1.0,light
1,60,255,255,255,1.0,1.0,1.0,light
1,61,255,255,255,1.0,1.0,1.0,light
1,62,255,255,255,1.0,1.0,1.0,light
1,63,255,255,255,1.0,1.0,1.0,light
1,64,255,255,255,1.0,1.0,1.0,light
1,65,255,255,255,1.0,1.0,1.0,light
1,66,255,255,255,1.0,1.0,1.0,light
1,67,255,255,255,1.0,1.0,1.0,light
1,68,255,255,255,1.0,1.0,1.0,light
1,69,255,255,255,1.0,1.0,1.0,light
1,70,255,255,255,1.0,1.0,1.0,light
1,71,255,255,255,1.0,1.0,1.0,light
1,72,255,255,255,1.0,1.0,1.0,light
1,73,255,255,255,1.0,1.0,1.0,light
1,74,255,255,255,1.0,1.0,1.0,light
1,75,255,255,255,1.0,1.0,1.0,light
1,76,255,255,255,1.0,1.0,1.0,light
1,77,255,255,255,1.0,1.0,1.0,light
1,78,255,255,255,1.0,1.0,1.0,light
1,79,255,255,255,1.0,1.0,1.0,light
1,80,255,255,255,1.0,1.0,1.0,light
1,81,255,255,255,1.0,1.0,1.0,light
1,82,255,255,255,1.0,1.0,1.0,light
1,83,255,255,255,1.0,1.0,1.0,light
1,84,255,255,255,1.0,1.0,1.0,light
1,85,255,255,255,1.0,1.0,1.0,light
1,86,255,255,255,1.0,1.0,1.0,light
1,87,255,255,255,1.0,1.0,1.0,light
1,88,255,255,255,1.0,1.0,1.0,light
1,89,255,255,255,1.0,1.0,1.0,light
1,90,255,255,255,1.0,1.0,1.0,light
1,91,255,255,255,1.0,1.0,1.0,light
1,92,255,255,255,1.0,1.0,1.0,light
1,93,255,255,255,1.0,1.0,1.0,light
1,94,255,255,255,1.0,1.0,1.0,light
1,95,255,255,255,1.0,1.0,1.0,light
1,96,255,255,255,1.0,1.0,1.0,light
1,97,255,255,255,1.0,1.0,1.0,light
1,98,255,255,255,1.0,1.0,1.0,light
1,99,255,255,255,1.0,1.0,1.0,light
1,100,255,255,255,1.0,1.0,1.0,light
1,101,255,255,255,1.0,1.0,1.0,light
1,102,255,255,255,1.0,1.0,1.0,light
1,103,255,255,255,1.0,1.0,1.0,light
1,104,255,255,255,1.0,1.0,1.0,light
1,105,255,255,255,1.0,1.0,1.0,light
1,106,255,255,255,1.0,1.0,1.0,light
1,107,255,255,255,1.0,1.0,1.0,light
1,108,255,255,255,1.0,1.0,1.0,light
1,109,255,255,255,1.0,1.0,1.0,light
1,110,255,255,255,1.0,1.0,1.0,light
1,111,255,255,255,1.0,1.0,1.0,light
1,112,255,255,255,1.0,1.0,1.0,light
1,113,255,255,255,1.0,1.0,1.0,light
1,114,255,255,255,1.0,1.0,1.0,light
1,115,255,255,255,1.0,1.0,1.0,light
1,116,255,255,255,1.0,1.0,1.0,light
1,117,255,255,255,1.0,1.0,1.0,light
1,118,255,255,255,1.0,1.0,1.0,light
1,119,255,255,255,1.0,1.0,1.0,light
1,120,255,255,255,1.0,1.0,1.0,light
1,121,255,255,255,1.0,1.0,1.0,light
1,122,255,255,255,1.0,1.0,1.0,light
1,123,255,255,255,1.0,1.0,1.0,light
1,124,255,255,255,1.0,1.0,1.0,light
1,125,255,255,255,1.0,1.0,1.0,light
1,126,255,255,255,1.0,1.0,1.0,light
1,127,255,255,255,1.0,1.0,1.0,light
2,0,255,255,255,1.0,1.0,1.0,light
2,1,255,255,255,1.0,1.0,1.0,light
2,2,255,255,255,1.0,1.0,1.0,light
2,3,255,255,255,1.0,1.0,1.0,light
2,4,255,255,255,1.0,1.0,1.0,light
2,5,255,255,255,1.0,1.0,1.0,light
2,6,255,255,255,1.0,1.0,1.0,light
2,7,255,255,255,1.0,1.0,1.0,light
