row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_minmax,G_minmax,B_minmax
0,87,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,88,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,89,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,90,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,91,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,92,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,93,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,94,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,95,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,96,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,97,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,98,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,99,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,100,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,101,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,102,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,103,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,104,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,105,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,106,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,107,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,108,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,109,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,110,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,111,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,112,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,113,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,114,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,115,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,116,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,117,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,118,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,119,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,120,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,121,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,122,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,123,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,124,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,125,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,126,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
0,127,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,0,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,1,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,2,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,3,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,4,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,5,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,6,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,7,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,8,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,9,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,10,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,11,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,12,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,13,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,14,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,15,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,16,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,17,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,18,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,19,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,20,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,21,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,22,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,23,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,24,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,25,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,26,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,27,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,28,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,29,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,30,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,31,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,32,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
